Pattern	&	Frequency in the sample
['9', '25', '52', '61', '97']	1
['2', '26', '36', '42', '66']	1
['2', '9', '39']	1
['33', '50', '61']	1
['2', '50', '56', '61', '66']	1
['42', '52', '66', '97']	3
['25', '30', '51', '52', '61']	1
['23', '44', '45', '51', '61']	1
['2', '45', '52', '61', '66']	2
['35', '51', '52', '56', '61']	1
['6', '34', '45', '51']	1
['50', '56', '97']	1
['9', '23', '31', '72', '97']	1
['2', '43', '51', '61']	2
['1', '9', '45', '97']	1
['15', '43', '51', '56', '66']	1
['9', '17', '25', '57', '97']	1
['25', '43', '51']	1
['1', '49', '50', '52', '56']	1
['1', '2', '9', '25', '97']	1
['2', '15', '32', '45', '66']	1
['14', '24', '45', '51', '96']	1
['23', '45']	2
['1', '22', '45', '52', '61']	1
['33', '56', '61', '66', '97']	1
['9', '23', '26', '44', '51']	1
['2', '9', '24', '44']	1
['1', '9', '42', '56']	1
['23', '33', '52', '56', '97']	1
['2', '23', '34', '52', '66']	1
['15', '23', '51', '55']	1
['2', '16', '44', '50', '56']	1
['2', '24', '50', '66', '97']	1
['9', '17', '27', '56', '61']	2
['1', '27', '42', '61']	2
['1', '2', '42', '66', '97']	1
['15', '36', '56', '97']	1
['2', '36', '44', '45', '66']	1
['6', '34', '45', '50', '56']	1
['1', '14', '24', '44']	1
['1', '23', '44', '56', '61']	1
['1', '42', '50', '66', '97']	1
['9', '16', '45', '56', '97']	1
['2', '15', '31', '51', '66']	1
['23', '27', '42', '50']	1
['31', '42', '56', '81', '97']	1
['16', '26', '38', '45', '61']	1
['25', '43', '45', '52', '97']	1
['9', '27', '50', '52']	1
['24', '43', '45', '51']	1
['2', '9', '45', '52', '61']	2
['56']	3
['9', '23', '26', '50', '52']	1
['25', '41', '45', '66']	1
['1', '7', '9', '45', '97']	1
['9', '17', '33', '45', '52']	1
['23', '45', '66']	2
['2', '9', '51', '66', '96']	1
['1', '2', '26', '45', '50']	1
['33', '50', '61', '66']	1
['24', '27', '44', '61', '66']	1
['1', '30', '52', '61', '66']	1
['1', '9', '32', '56', '61']	2
['25', '30', '52', '56', '66']	2
['1', '25', '61', '97']	2
['1', '2', '9', '33', '52']	2
['23', '50', '52', '97']	2
['23', '61', '66', '97']	3
['9', '41', '97']	1
['23', '27', '50', '61', '66']	1
['45', '50', '52', '56', '66']	1
['14', '45', '61', '97']	1
['1', '14', '32', '51', '52']	1
['2', '36', '49', '61', '66']	1
['27', '42', '51', '52', '97']	1
['1', '21', '34', '43', '96']	1
['9', '15', '25', '45', '52']	1
['23', '41', '45', '52', '56']	1
['1', '2', '23', '45', '52']	2
['42', '45', '66', '97']	2
['45', '50', '56', '61']	1
['42', '51', '52', '66', '97']	1
['1', '9', '43', '56', '66']	2
['1', '25', '35', '52', '66']	1
['9', '27', '56', '66']	2
['25', '49', '97']	1
['2', '45', '51', '56', '61']	1
['9', '26', '42', '61', '66']	3
['44', '50', '52', '56', '97']	1
['9', '17', '44', '56', '97']	1
['9', '24', '29', '45', '52']	1
['9', '42', '61', '66', '97']	1
['27', '42', '52', '61']	1
['2', '25', '30', '43', '61']	1
['15', '23', '49', '97']	1
['9', '14', '24', '34', '97']	1
['45', '51', '56', '96']	1
['1', '33', '97']	1
['9', '42', '66']	3
['2', '29', '43', '51']	1
['2', '27', '42', '52', '97']	1
['2', '17', '51', '56', '66']	3
['17', '23', '61', '96']	1
['9', '15', '25', '43']	2
['1', '25', '45']	2
['1', '30', '43', '51', '66']	1
['9', '43', '56']	2
['15', '23', '52', '66']	1
