Pattern &   Frequency in the sample &   Average-Utility &   Length
'18' '56'	2	28602.0	2
'7' '21' '32' '37' '41'	1	101.6	5
'6' '40'	3	51793.0	2
'5' '14' '24'	1	10321.666666666666	3
'16' '30' '33' '48'	1	301.5	4
'4' '10' '50'	1	5916.0	3
'17'	12	173067.0	1
'2' '5' '34'	2	15619.666666666666	3
'5' '15' '37' '56'	2	2607.75	4
'27' '40'	1	18733.0	2
'10' '18' '27'	1	1975.3333333333333	3
'12' '30' '57'	1	4604.0	3
'7' '16'	4	33466.5	2
'2' '13' '24' '56'	2	1303.25	4
'9' '30' '48'	1	977.0	3
'11' '31'	3	27560.0	2
'4' '16' '20' '31'	1	1492.5	4
'5' '29' '36'	1	12486.333333333334	3
'7' '10' '21' '34' '52'	1	148.2	5
'5' '14' '39'	2	9948.333333333334	3
'4' '5' '11' '57'	1	4097.0	4
'5' '16' '21' '35'	1	1437.75	4
'1' '5'	3	93832.5	2
'14' '41'	7	24315.0	2
'4' '14' '31' '34' '52'	1	184.0	5
'31' '37'	6	31261.0	2
'15' '50'	2	11136.5	2
'3' '5' '13' '18' '27'	1	275.4	5
'4' '32' '41'	1	6778.333333333333	3
'6' '23' '55'	2	10362.0	3
'4' '6' '19' '35'	1	1756.25	4
'26' '40' '55'	1	2030.3333333333333	3
'1' '5' '31' '35'	1	3336.25	4
'12' '19' '29' '57'	1	200.75	4
'4' '32' '37' '53'	1	3147.75	4
'4' '5' '16' '40'	1	3211.25	4
'5' '14' '36' '57'	1	3503.75	4
'28' '35' '58'	1	1666.6666666666667	3
'3' '6' '30' '56'	1	5769.25	4
'2' '5' '15' '21'	1	2746.75	4
'11' '41'	2	13069.0	2
'11' '20' '39' '52'	1	120.5	4
'3' '38'	8	58833.5	2
'1' '23' '30'	1	2053.3333333333335	3
'7' '9' '32' '39' '53'	1	469.2	5
'4' '5' '27' '38'	2	2965.5	4
'4' '8' '20'	1	10053.0	3
'6' '11' '53'	1	2792.6666666666665	3
'4' '10' '22' '27' '37'	1	148.2	5
'1' '5' '35'	2	17475.0	3
'9' '23'	2	21385.5	2
'22'	13	174844.0	1
'4' '6' '29'	1	15250.333333333334	3
'8' '32'	1	23318.0	2
'4' '15' '30'	1	11988.0	3
'11' '17' '28' '38'	1	240.5	4
'3' '18' '27' '36'	1	764.0	4
'6' '19' '55'	1	14126.333333333334	3
'6' '54'	5	67661.5	2
'2' '6' '12'	1	11067.333333333334	3
'2' '6' '17' '36' '56'	1	1278.4	5
'12' '26' '40'	1	2405.3333333333335	3
'19' '50'	3	9606.5	2
'1' '11' '18' '36'	1	328.0	4
'29'	14	171588.0	1
'4' '13' '39'	2	10142.333333333334	3
'3' '16' '24'	1	7028.666666666667	3
'2' '5' '21' '27' '56'	1	1122.0	5
'15' '20' '41'	1	3961.3333333333335	3
'4' '6' '30' '54'	1	3315.5	4
'2' '5' '10' '52'	2	1085.75	4
'6' '16' '19' '32' '57'	1	48.2	5
'6' '9' '26' '33'	1	405.75	4
'3' '7' '18' '32'	1	3119.0	4
'5' '18' '29' '34'	2	1071.5	4
'1' '5' '57'	2	23105.0	3
'53'	5	144216.0	1
'3' '6'	11	171734.5	2
'3' '6' '40'	2	25317.333333333332	3
'3' '13' '17'	1	7133.666666666667	3
'3' '10' '21' '26'	1	487.0	4
'25' '35'	1	18261.0	2
'5' '24' '34' '50'	1	715.0	4
'3' '15' '32' '41'	1	3069.5	4
'19' '29' '54'	1	1690.0	3
'24'	13	177674.0	1
'6' '14' '40'	1	6622.0	3
'5' '21' '53'	1	4460.666666666667	3
'1' '12' '20' '31'	1	301.0	4
'6' '12' '22' '30' '39'	1	88.2	5
'4' '15' '32' '50'	1	1684.5	4
'5' '26' '37'	1	9501.333333333334	3
'10' '19' '30' '35' '53'	1	38.2	5
'2' '12'	2	33326.5	2
'20' '55'	1	24586.0	2
'12' '20' '36'	1	2662.0	3
'4' '6' '40' '56'	1	220.25	4
'3' '22' '37' '41'	1	2527.75	4
'3' '5' '14' '33'	1	1971.5	4
'6' '14' '25' '47'	1	386.0	4
'3' '32' '33'	1	8958.0	3
'6' '14' '20' '31' '54'	1	117.8	5
'2' '13' '21' '56'	1	1694.25	4
'3' '23' '54'	3	6827.666666666667	3
'5' '13'	4	80339.0	2
'2' '6' '33'	3	15273.333333333334	3
'5' '23' '38' '56'	2	2513.25	4
'17' '31'	1	28431.5	2
'4' '6' '19' '36' '53'	1	415.4	5
'5' '29'	7	82324.0	2
'1' '28'	1	11331.0	2
'4' '22' '32' '48'	1	822.5	4
'2' '5' '19' '58'	1	862.75	4
'2' '6' '35'	2	15767.333333333334	3
'5' '24'	2	80711.0	2
'3' '30' '55'	2	16318.666666666666	3
'3' '18' '38' '54'	1	1541.75	4
'2' '20'	3	32568.0	2
'13'	6	177823.0	1
'5' '9'	9	77379.5	2
'16'	13	179159.0	1
'3' '11' '18' '32' '39'	1	123.6	5
'4'	40	600986.0	1
'7' '32'	4	48355.5	2
'4' '7' '25' '34' '47'	1	282.6	5
'4' '5' '15' '34'	1	1855.0	4
'4' '7' '15' '31' '54'	1	1143.6	5
'14' '38' '56'	1	3058.6666666666665	3
'52'	10	99200.0	1
'33' '52'	1	17496.0	2
'5' '13' '24' '26' '40'	1	157.2	5
'6' '14' '34' '47'	1	707.25	4
'4' '7' '27' '33' '48'	1	262.0	5
'4' '22' '25' '33' '47'	1	622.0	5
'31'	17	232695.0	1
'2' '11' '32' '35'	1	792.0	4
'5' '9' '18' '38'	1	1332.25	4
'5' '15' '19'	1	9949.0	3
'15' '18' '32' '53'	1	151.0	4
'2' '53'	3	19170.5	2
'32' '39' '55'	1	5634.333333333333	3
'2' '52'	1	15417.5	2
'6' '10' '25' '49'	1	1971.25	4
'4' '5' '13' '30' '41'	1	776.2	5
'16' '19' '39' '56'	1	894.0	4
'31' '56'	5	37365.0	2
'3' '6' '54'	1	30615.0	3
'6' '15' '32' '38'	1	1209.0	4
'3' '22'	3	54748.5	2
'6' '39' '41'	1	6575.333333333333	3
'4' '12' '21' '28' '56'	1	155.8	5
'2' '5' '16' '57'	1	5496.75	4
'3' '6' '15' '55'	1	6363.75	4
'18' '27'	2	14761.5	2
'15' '19' '31'	1	3325.6666666666665	3
'2' '12' '41'	1	3447.6666666666665	3
'7' '16' '19' '36'	1	529.5	4
'2' '32' '36'	1	6109.666666666667	3
'5' '9' '30' '39'	2	1158.0	4
'8' '21' '30' '34'	1	394.75	4
'18'	4	174626.0	1
'5'	44	634437.0	1
'4' '12' '29' '51'	1	169.25	4
'9' '18' '40'	1	2545.6666666666665	3
'4' '15' '21' '29' '56'	1	324.0	5
'4' '24' '29'	1	7269.666666666667	3
'3' '23' '27' '37' '57'	1	274.0	5
'4' '7' '20' '28' '37'	1	439.6	5
'56'	11	228427.0	1
'15' '30' '49'	1	192.0	3
'4' '5' '11' '20' '41'	1	415.8	5
'18' '33' '46'	1	3328.3333333333335	3
'13' '29' '55'	1	2952.3333333333335	3
'6' '30' '56'	2	14998.0	3
'24' '25' '36'	1	2478.3333333333335	3
'8' '15' '21' '31' '34'	1	45.8	5
'6' '22' '27'	1	3782.0	3
'33'	9	186505.0	1
'39' '53'	4	21305.5	2
'23' '36' '52'	1	1086.6666666666667	3
'4' '8' '16' '18'	1	1428.0	4
'3' '18' '26' '35'	1	399.5	4
'3' '37'	4	58931.5	2
'4' '5' '17' '31' '56'	1	1523.8	5
'5' '15' '36' '57'	1	3626.5	4
'1' '11' '29' '36'	1	432.0	4
'24' '26' '34' '54'	1	49.0	4
'30' '54'	4	25147.5	2
'4' '13' '30' '37' '54'	1	313.0	5
'4' '23' '56'	1	9816.666666666666	3
'6' '36' '41'	1	6722.333333333333	3
'4' '11' '28' '55'	1	1268.0	4
'4' '7' '20' '30'	1	3181.25	4
'5' '15' '18' '36'	1	1311.5	4
'4' '20' '29'	2	6896.0	3
'4' '5' '26' '37' '54'	1	186.8	5
'8' '15' '17' '51'	1	145.5	4
'4' '10' '25' '34' '41'	1	544.6	5
'3' '5' '19' '28' '35'	1	384.6	5
'11'	11	168500.0	1
'4' '8' '30' '35'	1	3034.25	4
'6' '28' '54'	3	5564.666666666667	3
'16' '20' '29' '34' '51'	1	167.2	5
'7' '11' '23' '26' '38'	1	50.6	5
'4' '15' '36' '56'	1	1713.75	4
'8' '30' '51'	2	2954.0	3
'20' '27' '55'	1	3523.3333333333335	3
'6' '16' '18'	1	7257.666666666667	3
'1' '5' '10' '31' '57'	1	1469.8	5
'2' '15' '32' '41'	1	2140.25	4
'14' '23'	2	21416.0	2
'4' '34' '50'	2	21071.0	3
'2'	21	264855.0	1
'3' '18' '27' '33' '45'	1	99.4	5
'1' '18' '29' '33' '49'	1	129.2	5
'8' '12' '19' '31' '34'	1	54.0	5
'5' '15' '26' '36'	1	1149.5	4
'16' '22' '29'	1	2922.3333333333335	3
'39' '41'	2	19802.5	2
'4' '8' '32' '33'	1	3103.0	4
'1' '31' '36'	2	3060.0	3
'5' '24' '56'	2	26218.333333333332	3
'2' '6' '16' '32' '55'	1	1027.8	5
'5' '9' '21' '36'	1	1514.75	4
'5' '24' '36'	2	11175.333333333334	3
'20' '53'	2	20876.5	2
'3' '31' '56'	1	10294.0	3
'14' '22' '31' '36' '54'	1	199.8	5
'8' '32' '35' '51'	1	1793.25	4
'13' '26' '38'	1	2571.6666666666665	3
'7' '41'	3	24313.5	2
'6' '16' '23'	1	6535.333333333333	3
'15' '18' '41'	1	3895.0	3
'3' '5' '25' '34' '53'	1	1107.6	5
'23' '40'	2	19255.0	2
'15' '31'	1	26833.0	2
'13' '40' '53'	1	4695.0	3
